id,household,age,gender
2202,11243598,43,0
2252,14925362,61,0
2332,14925385,63,0
2352,14925428,65,0
2360,14925332,63,0
2384,14925346,61,0
2456,15727675,55,0
30129,34908234,7,0
30131,34908129,7,0
30191,34908217,6,0
30534,34949613,15,0
35711,35465234,46,0
35851,35482107,40,1
35867,35482185,41,1
35991,35482207,44,1
42372,36349003,38,0
60745,38569639,32,1
71841,1082455,58,1
78731,1571060,51,0
86153,2362089,71,1
97446,3622325,33,1
97522,3622334,33,1
97902,3661613,27,1
109125,4941987,38,1
109319,4961359,56,1
115650,5719606,6,0
115668,5719655,4,0
115684,5719736,5,0
115704,5719701,7,0
115758,5719628,7,0
115942,5740928,42,0
131019,7491640,59,0
132876,7736354,26,1
133065,7774462,86,1
150830,9421257,52,0
178693,12388912,10,1
178789,12421532,17,1
178828,12421396,15,1
178852,12421439,16,1
178870,12421456,15,1
178945,12421474,16,1
179056,12437464,86,1
190009,13829701,59,1
192895,14200907,34,1
192979,14201019,35,1
193192,14212453,43,1
193321,14245902,83,1
236875,21389738,50,0
237041,21419920,43,1
237081,21419859,40,1
251149,24734175,66,1
280387,31331584,12,0
280474,31343296,21,1
280540,31343323,21,1
280639,31368759,49,1
280792,31379624,20,0
290080,33568669,54,1
310410,35010365,16,1
310660,35011894,53,0
310670,35011885,51,0
310725,35011862,52,0
310890,35015262,84,0
315214,35064789,25,0
315292,35064848,25,0
319940,35121856,39,0
320059,35123504,24,1
320251,35124421,15,0
327689,35207457,32,1
327741,35208594,64,1
327935,35211041,45,0
345547,35403721,28,1
346383,35417241,73,0
347865,35432535,65,0
355122,35503169,65,1
363941,35606912,78,1
363986,35606927,79,1
364033,35608895,46,1
364048,35608959,47,1
378981,323935,15,1
381055,35794306,19,0
381067,35794376,21,0
381085,35794254,21,0
381151,35794386,18,0
401902,36029004,63,0
421161,36253528,41,0
421179,36253632,38,0
458775,36683349,51,0
458823,36683304,50,0
466207,36780621,16,1
471513,36825227,80,1
476901,36899178,79,0
476943,36899166,79,0
477195,36899542,79,1
496668,37127251,42,0
496684,37127267,43,0
496704,37127347,42,0
504568,34682125,25,0
504708,37212684,79,0
504858,37215859,3,1
505299,37220350,63,0
505464,37221300,42,1
505527,37221393,44,1
513083,37298514,89,1
513089,37298595,86,1
513137,37303557,43,1
514855,37316064,78,1
515041,37316865,24,1
528848,37447409,1,0
528895,37448648,44,0
530391,37462315,19,0
539686,37553028,19,1
539799,37553049,20,1
547148,37622823,71,0
547284,37625201,46,1
610855,38337292,61,1
615389,38391681,76,1
615560,38394939,43,1
655664,116024,55,0
655820,120110,19,0
655888,120801,14,0
656000,120862,13,0
656240,122070,17,0
671589,300764,11,1
671673,300797,10,1
687541,521087,58,1
687601,521723,43,1
687785,35389171,51,0
687799,35389163,52,0
701213,664015,81,1
722308,882970,57,0
722312,883010,57,0
722372,885024,12,1
739695,1057559,46,1
739710,1058978,30,1
739712,1058913,30,1
745920,1129722,36,0
746941,1144258,61,1
746998,1144187,59,1
750339,38418667,8,0
755543,1233802,21,1
755807,1234791,20,0
764189,1338628,55,1
768097,1371232,22,1
772672,1415490,49,1
772703,1415480,48,1
772708,1415475,48,1
789700,1592907,59,0
789852,1593580,60,1
789902,1593563,58,1
789972,1593521,59,1
798867,1689217,66,0
798914,1689343,67,0
803627,1733287,36,1
826193,1983733,38,1
845769,2210814,65,1
856243,2310703,84,0
345261,35400446,56,1
879056,2557218,60,1
889182,2671163,70,0
891793,2691781,73,0
891803,2691893,75,0
896241,2749399,39,1
896969,2753378,71,1
908233,2863281,20,1
908423,2864014,46,1
918457,2948766,57,1
925262,3021369,32,0
932660,3086117,34,0
933055,3089200,73,1
936295,3119559,41,0
936469,3120154,26,0
950316,3248812,40,0
950490,3250972,82,1
968346,3419646,81,0
968737,3424033,30,0
968779,3424038,30,0
1014089,2627497,59,1
1014125,3924370,54,1
1014233,3924375,52,1
1014242,3924418,53,1
1015768,3937349,46,1
1020275,3987617,47,1
1020779,3993041,49,1
1020783,3993066,47,1
1020827,3993130,49,1
1020835,3993219,47,1
1020843,3993167,51,1
1020847,3993049,48,1
1021283,3996428,18,0
1024547,4033732,35,0
1024955,4037134,83,0
1026606,4048957,49,1
1040929,4212140,34,0
1041101,4214668,60,0
1046106,4262708,66,1
1050506,4306958,10,0
1050512,4307004,10,0
1050518,4306954,13,0
1054565,4348819,56,1
401901,36028975,59,0
401917,36030564,10,0
1065319,4466025,45,0
1072536,4549394,75,0
1081175,4635212,66,0
1088877,4707441,41,1
1088907,4707396,41,1
1088967,4707544,42,1
1088992,4707445,39,1
1091266,4731296,90,0
1091711,4735962,57,0
1103684,4864089,32,0
1104757,4870888,77,0
1104809,3631979,12,0
1117835,4993995,81,0
1117879,4994102,79,0
1117935,4995742,30,0
1117961,4995850,34,0
1118037,4995754,31,0
1118045,4995722,30,0
1118095,4995839,32,0
1133641,5146056,30,0
1133801,5147631,18,1
1133841,5147709,21,1
1133905,5147761,19,1
1134285,5150243,10,1
1164466,5419133,35,1
1164480,5419007,35,1
1164515,5419028,34,1
1164516,5419051,33,1
1164521,5419080,33,1
1164549,5419018,32,1
1164561,5419113,31,1
1175185,5511679,51,1
1186007,5608928,37,1
1186039,5609022,34,1
1197947,5707983,58,0
1197974,5707848,58,0
1222416,5950471,59,1
1228019,6008503,51,0
1228213,6008941,71,0
1228223,6008923,69,0
1236440,6095102,11,0
1237228,6098202,48,1
1237382,6098902,42,1
1270605,6435900,50,0
1270719,6437191,83,1
1270885,4744434,55,0
1292637,6634416,75,1
1305514,6771577,83,1
1305666,6772353,57,0
1305710,6772319,59,0
1305802,6772252,57,0
1305954,6772945,53,1
1309108,6803690,66,0
1321862,4306954,6,0
1335908,8583810,73,1
1337656,7083744,18,0
1337672,7083651,15,0
1349591,7213540,19,1
1352448,7230543,41,1
1355926,3996428,24,1
1358753,7302267,57,0
1371649,7444546,23,1
1380504,7519457,79,1
1427395,7978758,50,0
1427595,7982539,75,1
1429066,7993485,79,0
1437464,8080407,68,0
1437548,8080332,68,0
348789,35443239,29,1
1477101,8437904,60,0
1477784,8439901,40,1
1478268,8445760,53,1
1478412,8446570,64,0
1487662,8516377,19,1
1487926,8519091,23,0
1491336,8560202,18,1
1499407,4893214,47,0
1500139,8636901,64,1
1539039,9006055,21,0
1540955,9021288,96,0
1541324,9024232,46,1
1541327,9024249,48,1
1541594,9027438,51,0
1541977,9033092,88,0
1541987,9033093,90,0
1553701,9141715,27,1
1571464,9284261,61,0
1588009,9430504,28,1
1588165,9431706,36,1
1611557,9627298,28,0
1619949,9694466,44,0
1619969,9694486,46,0
1622572,38538433,37,0
1622792,9716169,52,1
1631540,9788299,16,1
1684568,10209445,68,0
1684650,10211535,53,0
1691032,10270462,25,0
1691036,10270511,23,0
1691360,10271932,13,0
1691488,10273443,48,1
1699280,8114969,49,0
1703786,10388700,12,0
1706605,10413858,40,0
1706831,10416667,87,0
1706853,10416653,87,0
1708784,10426912,25,1
1729473,10585604,50,0
1729481,10585567,51,0
1744420,10754943,32,1
1744705,10757168,23,1
1133992,5148654,60,0
1794006,11485932,6,1
1795233,11508111,10,0
1795341,11511709,52,1
1813521,11733111,48,0
1813527,11732995,47,0
1825707,11885772,8,0
1849063,12164587,37,0
1849145,12164531,38,0
1849151,12164562,37,0
1849173,12165701,44,0
1849215,12165733,46,0
1849343,12166316,87,0
1886254,12545195,4,1
1887778,12561221,15,1
1895404,12625193,58,0
1935421,13180773,21,0
1935445,13180723,20,0
1936338,13193283,88,1
1936346,13193434,89,1
1952473,13418010,54,1
1952477,13417935,58,1
